q0,q1,q2,q3,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.8076,-0.5317,-0.0308,0.2529,0.0327,-0.8579,0.208,0.66,-0.123,0.333,28.786,-15.887,-7.487,6
0.6366,-0.4816,0.461,-0.3874,-0.0102,-1.1196,0.0527,-0.086,0.273,-0.614,-5.284,10.473,-6.924,44
0.4626,-0.1004,0.7745,-0.4194,-0.5498,-0.9497,-0.2207,1.068,0.966,-0.266,26.279,1.627,9.092,13
0.4957,-0.4001,-0.5742,0.5141,-0.0703,-0.5927,-0.0092,0.111,0.249,0.29,-32.535,26.217,21.369,16
0.0074,0.0431,0.5453,-0.837,-0.1596,-0.705,0.1787,0.156,-0.578,1.172,21.749,-14.987,12.613,49
0.7598,-0.6357,-0.1355,0.0089,0.0952,-1.437,0.1782,-0.171,0.165,-0.15,19.036,26.099,1.363,6
0.3322,-0.1053,0.6448,-0.6801,-0.2827,-0.9536,0.1499,-0.004,-0.007,-0.008,14.898,-30.745,-25.318,35
0.5398,-0.4146,-0.4662,0.565,-0.2329,-0.7915,0.3076,-0.071,0.451,-0.097,-22.937,-14.087,-22.037,46
0.6923,-0.4931,0.4156,-0.3236,-0.1513,-1.0522,0.0629,-0.333,-0.471,0.928,-19.384,-18.913,-0.324,44
0.5848,-0.6778,0.3093,-0.3205,0.2182,-1.0766,-0.0317,0.09,-0.976,0.041,31.747,-23.369,-6.085,20
0.5896,-0.4544,0.4066,-0.5296,-0.0473,-0.9423,0.2998,0.062,-0.078,0.071,-25.333,0.809,-6.992,4
0.716,-0.562,0.3241,-0.2574,-0.1958,-0.9716,0.1674,-0.04,-0.028,-0.054,27.149,-4.937,16.199,8
0.1914,0.0183,-0.6167,0.7632,0.2529,-1.1289,-0.0483,0.084,-3.369,0.27,-30.137,-19.637,-11.687,49
0.6263,-0.6171,0.1994,-0.4323,0.0161,-0.7539,0.1733,-0.046,0.316,-0.594,-4.95,18.449,-6.287,9
0.3616,-0.4455,0.5216,-0.6312,0.1875,-0.6933,-0.0336,0.214,-0.821,-1.993,-11.4,18.599,-11.837,1
0.1143,-0.1528,0.5976,-0.7787,-0.1191,-1.1103,0.2382,-0.972,-1.367,0.625,-9.078,17.59,-12.554,35
0.6761,-0.5734,0.3302,-0.3239,0.0541,-0.9189,0.1528,0.026,0.072,-0.82,-31.5,-22.787,-5.687,3
0.1841,-0.0687,0.6144,-0.764,-0.2309,-0.9882,0.2373,-0.33,-0.686,0.009,-21.622,-24.416,-10.214,35
0.2922,-0.1934,0.6534,-0.6709,-0.0976,-0.9414,0.059,0,-0.317,-0.015,11.999,10.363,8.849,38
0.4496,-0.3649,0.6403,-0.5045,-0.1694,-1.0541,-0.0971,0.126,0.11,0.024,-4.737,-1.597,-5.631,34
0.6982,-0.5156,0.2988,-0.3965,-0.1752,-0.8735,0.3466,-0.193,0.432,0.159,22.049,-12.887,16.649,8
0.4268,-0.3537,-0.4559,0.6962,0.2055,-0.7812,0.2553,0.95,0.09,0.329,-29.387,-2.837,-20.687,46
0.2346,-0.3285,-0.602,0.6888,0.1884,-0.6665,0.0693,0.765,-0.582,2.033,-14.709,8.449,-0.047,12
0.6196,-0.6782,0.1978,-0.3418,-0.0986,-0.6445,0.0107,0.165,0.798,-0.084,2.51,-29.069,-4.885,20
0.0654,0.0742,-0.615,0.7822,0.5483,-1.0078,0.1884,0.38,-0.058,1.856,28.949,-12.887,-5.987,49
0.594,-0.4741,0.39,-0.5196,0.0532,-0.913,0.3823,0.094,1.569,0.123,20.699,-5.087,20.849,30
0.5058,-0.4515,-0.4022,0.6151,-0.2148,-1.0102,0.3525,-0.764,0.184,-0.477,27.449,-23.537,-14.087,46
0.5625,-0.305,0.515,-0.5702,-0.1479,-0.9545,0.2036,-0.31,-0.787,0.143,-26.7,-9.587,18.449,47
0.4762,-0.3323,0.5124,-0.6325,-0.0117,-0.8505,0.2802,-0.074,0.475,-0.058,28.936,-13.187,4.799,42
0.8078,-0.5759,0.0798,-0.096,-0.0664,-0.8974,0.3007,0.137,0.526,-0.038,3.749,24.763,4.349,50
0.0331,-0.0567,-0.6032,0.7948,-0.1298,-1.2666,0.2871,0.47,1.314,-0.455,22.349,-15.587,21.299,7
0.3643,-0.2436,-0.593,0.6754,-0.1083,-1.2353,0.0849,-1.056,-0.646,0.73,-6.6,-23.987,5.699,40
0.4764,-0.0944,0.7854,-0.3836,-0.3857,-0.8779,-0.2856,-0.846,0.241,0.598,-29.976,23.73,4.936,13
0.4746,-0.533,0.4354,-0.5485,0.3974,-1.1064,0.104,0.073,-0.169,-0.356,-1.05,-5.237,28.199,2
0.6153,-0.4476,0.4093,-0.5033,-0.0527,-0.9848,0.414,-0.198,0.456,-0.664,-19.783,2.759,-11.342,4
0.7641,-0.6135,0.1243,-0.1554,-0.2114,-1.2636,0.102,-0.396,-1.283,1.966,-24.737,-28.637,14.249,37
0.1452,-0.0775,-0.6014,0.7817,-0.0673,-0.7695,0.2685,-0.317,0.479,-0.482,18.149,29.099,-31.637,7
0.3182,-0.1702,0.6109,-0.7045,-0.1533,-0.9916,0.2207,0.013,0.03,-0.021,9.142,-20.232,24.417,45
0.6703,-0.5324,0.3243,-0.4023,0.1,-0.9379,0.1733,0.01,0.061,0.204,-6.3,17.414,-24.437,21
0.0157,-0.0684,0.5489,-0.8328,0.3349,-1.0361,0.3886,0.153,0.594,-0.223,-10.937,-7.787,31.649,49
0.7244,-0.6678,0.1517,-0.0787,-0.0302,-0.9858,0.165,0.139,0.365,-0.373,10.199,18.763,-23.087,19
0.6141,-0.4586,0.3917,-0.5089,0.3266,-0.7871,0.2978,0.453,0.28,1.362,-1.975,-26.433,-15.497,4
0.3282,-0.1451,0.6367,-0.6824,-0.2539,-0.9501,0.1923,-0.111,-0.083,-0.069,-24.887,-2.837,14.999,33
0.4837,-0.2607,-0.56,0.6199,0.4726,-0.832,0.1894,0.324,0.103,0.692,19.949,-5.387,-28.337,36
0.7992,-0.5916,0.1015,-0.0279,0.0434,-1.083,0.2211,0.418,0.13,1.783,20.249,-26.837,26.249,50
0.332,-0.1052,0.6448,-0.6802,-0.291,-0.9643,0.1523,0.001,0.009,-0.007,14.898,-30.745,-25.318,35
0.3921,-0.2872,0.6849,-0.5426,-0.4213,-1.2114,-0.2265,-0.144,-0.889,0.222,-14.937,-13.147,-7.131,34
0.6427,-0.5296,0.3333,-0.4418,0.0761,-0.9287,0.1787,-0.05,-0.457,0.257,-11.1,13.213,-23.687,21
0.2348,-0.0451,-0.5716,0.7848,-0.1611,-0.8833,0.3515,-0.24,0.449,-0.027,25.199,32.549,12.613,49
0.2535,0.0367,0.6711,-0.6956,-1.0083,-0.9819,-0.3032,2.711,3.866,-0.363,22.21,18.78,3.136,13
0.6639,-0.58,0.2878,-0.3739,0.0249,-0.9882,0.1425,0.009,-0.005,-0.037,11.399,-2.237,18.149,27
0.0252,0.0829,0.5776,-0.8116,-0.0068,-0.937,0.207,0.437,-0.16,0.354,26.399,-28.937,26.849,7
0.3839,-0.414,0.4138,-0.714,0.3105,-1.1782,0.0957,0.598,-0.85,0.317,11.549,-19.937,-5.087,43
0.432,-0.3847,0.3958,-0.7131,0.3452,-1.2021,0.5097,-0.235,0.303,-0.635,29.849,29.849,3.164,43
0.5498,-0.5542,-0.3689,0.5042,0.3652,-1.2104,0.374,-0.065,1.637,-1.245,-2.228,28.65,-10.264,23
0.69,-0.3526,0.6091,-0.1687,-0.7998,-0.8779,-0.0361,-0.012,0.332,0.445,-13.2,-22.937,24.299,48
0.5803,-0.4388,0.4371,-0.5287,-0.0541,-0.9204,0.3012,0.002,-0.54,0.069,-9,-22.187,-6.9,47
0.3256,-0.2224,0.6052,-0.6914,-0.1875,-0.9506,0.1752,0.089,0.038,-0.353,-10.637,1.963,-16.05,38
0.7264,-0.6583,0.0864,0.1768,-0.5458,-1.3129,0.0478,-0.244,-0.051,-0.273,21.655,-23.183,22.433,26
0.5117,-0.4062,-0.5851,0.4803,-0.0434,-0.5566,0.0058,0.025,1.018,-1.314,-6.585,-32.419,10.119,16
0.4238,-0.1289,0.7566,-0.4808,-0.2944,-0.7045,-0.208,-1.048,-0.797,0.956,31.66,27.78,-7.213,13
0.5103,-0.4583,-0.4809,0.546,-0.2739,-1.1445,-0.0639,0.716,-2.052,0.42,20.399,26.849,13.363,46
0.6569,-0.5916,0.2397,-0.4011,0.0917,-0.85,0.1318,-0.317,-0.839,-0.712,-26.304,30.425,-0.54,5
0.5284,-0.423,0.445,-0.5862,-0.1088,-1.1518,0.1557,-0.459,-1.11,0.172,9.016,22.095,-7.742,4
0.3071,-0.0567,0.6813,-0.6619,-0.4106,-0.9238,0.0703,0.201,0.373,-0.46,-21.876,-0.276,-12.974,11
0.2433,-0.0269,0.6576,-0.7124,-0.2246,-0.497,0.1181,0.478,1.806,-0.915,17.41,-31.776,17.326,11
0.103,-0.3261,-0.6108,0.714,-0.8344,-1.1196,-0.1748,-0.072,0.503,-0.797,-26.537,-23.537,-19.787,29
0.2137,-0.1542,-0.5972,0.7575,-0.081,-0.7958,0.1948,1.347,1.068,0.354,0.7,-26.786,-20.876,18
0.0232,0.2186,0.5945,-0.7733,-0.413,-0.9946,0.2597,0.042,0.549,-0.387,-9.287,1.213,23.849,29
0.4576,-0.3394,0.6405,-0.5147,-0.0434,-1.1801,0.2436,0.028,-0.275,-0.828,22.712,-15.247,-22.131,34
0.034,-0.1007,0.6634,-0.7405,-0.0004,-0.6889,0.1284,0.627,3.286,-0.589,5.399,-27.437,-28.937,10
0.5144,-0.5728,0.3051,-0.5604,0.4926,-1.4423,0.0659,-0.195,-4.052,2.349,15.899,-11.987,-31.937,31
0.7592,-0.5878,-0.046,0.2753,-0.143,-0.9887,0.3398,-0.377,0.059,-0.39,-24.266,-18.716,-1.451,15
0.4706,-0.4912,0.496,-0.5394,0.4155,-0.8491,0.1557,0.276,-0.858,-0.633,12.449,-7.937,32.549,2
0.0276,0.0091,-0.5852,0.8103,0.458,-0.9951,0.2954,0.708,0.177,1.204,15.899,7.963,1.813,49
0.3608,-0.3577,-0.6163,0.6016,0.103,-1.1552,0.0117,-0.297,-0.982,0.779,-16.343,-7.548,-16.74,12
0.4318,-0.0817,0.6114,-0.658,-0.1953,-1.0327,0.1743,-0.129,-1.851,1.08,11.387,22.962,-19.763,35
0.6741,-0.4379,0.5416,-0.2457,-0.6752,-0.9077,0.0371,-0.163,-0.08,0.079,32.699,-21.437,0,48
0.7869,-0.6045,0.1209,-0.0231,0.0366,-0.6093,0.2763,0.209,-0.621,1.848,25.949,-22.487,2.549,37
